Parameter,InitialValue,OptimizedValue
S1,2,12.7934780838996
S2,5,4.15930207322038
S3,2,3.20503959155234
S4,5,29.1952228838735
A1,0.3,0.627584001159124
b1,0.3,0.8
A2,0.3,0
b2,0.3,0.518038538593956
Tp,5,4.33210319956883
Tf0,1,4.66555193529651
Tvl,8,10.2921366767904
Tv0,2,5
yita,0.95,0.8
A3,0.2,0.459751071287742
b3,0.1,0.386677814991965
A4,0.1,0.225608765883291
b4,0.1,0.353694715904965
A5,0.1,0.16040997273756
b5,0.3,0.121033970916579
k0,0.02,0.0457137624662548
k1,0.02,0.150536687988453
k2,0.02,0.0408013119596848
k3,0.02,0.170676308250998
xcp,0.2,0.241284161814578
